Stufe;Versorger;Tarif;Tarif-ID;Sparte;Typ;Verbrauch von;Verbrauch bis;gültig von;gültig bis;Provision in Euro;Provision in Euro je kWh;Folgeprovision in Euro;Folgeprovision in Euro je kWh;Sonderprovision
Stufe 21;Aras Energy GmbH;Aras Horizon 24;18922;Strom;Privatkunde;1;100000;2025-07-01;2999-06-30;195.00;;;;
Stufe 21;Aras Energy GmbH;Aras Pulse 24;18921;Strom;Privatkunde;1;100000;2025-07-01;2999-06-30;96.00;;;;
Stufe 21;badenova;Erdgas24;2859;Gas;Privatkunde;1;1500000;2025-07-01;2999-04-30;128.00;;;;
Stufe 21;badenova;Erdgas24;2859;Gas;Privatkunde;0;0;2026-02-02;2026-03-31;;;;;30.00 on Top 
Stufe 21;badenova;Erdgas24 Gewerbe V1 (A - 0);17652;Gas;Gewerbekunde;1;1500000;2026-02-01;2999-01-31;124.00;;;;
Stufe 21;badenova;Erdgas24 Gewerbe V1 (A - 0);17652;Gas;Gewerbekunde;0;0;2026-02-02;2026-03-31;;;;;30.00 on Top 
Stufe 21;badenova;Erdgas24-Bio10;18227;Gas;Privatkunde;1;1500000;2025-07-01;2999-04-30;128.00;;;;
Stufe 21;badenova;Erdgas24-Bio10;18227;Gas;Privatkunde;0;0;2026-02-02;2026-03-31;;;;;30.00 on Top 
Stufe 21;badenova;Erdgas24-Bio15;18259;Gas;Privatkunde;1;1500000;2025-07-01;2999-04-30;128.00;;;;
Stufe 21;badenova;Erdgas24-Bio15;18259;Gas;Privatkunde;0;0;2026-02-02;2026-03-31;;;;;30.00 on Top 
Stufe 21;badenova;Ökostrom24;2858;Strom;Privatkunde;1;100000;2026-03-01;2999-01-31;100.00;;;;
Stufe 21;badenova;Ökostrom24;2858;Strom;Privatkunde;0;0;2026-03-16;2026-03-31;;;;;45.00 on Top 
Stufe 21;badenova;Ökostrom24 Gewerbe V1 (A - 0);17651;Strom;Gewerbekunde;1;100000;2026-02-01;2999-01-31;100.00;;;;
Stufe 21;badenova;Ökostrom24 Gewerbe V1 (A - 0);17651;Strom;Gewerbekunde;0;0;2026-02-02;2026-03-31;;;;;30.00 on Top 
Stufe 21;badenova;Ökostrom24 Gewerbe V1 (A - 0);17651;Strom;Gewerbekunde;0;0;2026-02-13;2026-03-31;;;;;20.00 on Top 
Stufe 21;badenova;Ökostrom24 Marktpreis V2;18716;Strom;Privatkunde;1;100000;2025-07-01;2999-05-31;100.00;;;;
Stufe 21;badenova;Ökostrom24 Marktpreis V2;18716;Strom;Privatkunde;0;0;2026-02-02;2026-03-31;;;;;30.00 on Top 
Stufe 21;badenova;Ökostrom24 Marktpreis V2;18716;Strom;Privatkunde;0;0;2026-02-13;2026-03-31;;;;;20.00 on Top 
Stufe 21;Brillant Energie GmbH;Gas Natur 24 - 320;18052;Gas;Privatkunde;1000;49999;2024-12-01;2999-12-31;92.00;;;;
Stufe 21;Brillant Energie GmbH;Gas Natur 24 - 321;18051;Gas;Privatkunde;1000;49999;2024-12-01;2999-12-31;160.00;;;;
Stufe 21;Brillant Energie GmbH;Strom Natur 24 - 312;18054;Strom;Privatkunde;250;12000;2024-12-01;2999-12-31;73.00;;;;
Stufe 21;Brillant Energie GmbH;Strom Natur 24 - 314;18053;Strom;Privatkunde;250;12000;2024-12-01;2999-12-31;130.00;;;;
Stufe 21;DEW21;Erdgas Direkt;18027;Gas;Privatkunde;8000;50000;2025-07-01;2999-05-31;56.00;;;;
Stufe 21;DEW21;Erdgas Direkt;18027;Gas;Privatkunde;0;0;2025-07-01;2026-03-31;;;;;50.00 on Top 
